p,q,q1_0,q1_1,q2_10,q2_00,q2_11,q2_01,m,D_vals
0.6666119202666695,0,0.16669302407840486,0.0,0.2500395361176073,0.0,0.0,0.0,0.1,0.0018092943672133835
0.6801812133054527,0,0.1966109795395014,0.0,0.29491646930925214,0.0,0.0,0.0,0.11794871794871796,0.0016737361951384953
0.6943139368893003,0,0.22652862877771662,0.0,0.33979294316657294,0.0,0.0,0.0,0.13589743589743591,0.0015469670307268002
0.7090459514043748,0,0.2564460057920386,0.0,0.3846690086880575,0.0,0.0,0.0,0.15384615384615385,0.001428643781247502
0.7244162258768853,0,0.28636314361551546,0.0,0.42954471542327327,0.0,0.0,0.0,0.1717948717948718,0.0013184180147878814
0.7404671822845039,0,0.31628007431547495,0.0,0.47442011147321245,0.0,0.0,0.0,0.18974358974358976,0.0012159378041153247
0.7572450866673716,0,0.34619682899373716,0.0,0.5192952434906057,0.0,0.0,0.0,0.2076923076923077,0.00112084949684211
0.7748004946320316,0,0.37611343778681433,0.0,0.5641701566802231,0.0,0.0,0.0,0.22564102564102567,0.001032799400471548
0.7931887602830368,0,0.40602992986610154,0.0,0.6090448947991522,0.0,0.0,0.0,0.2435897435897436,0.0009514353727797223
0.8124706193737636,0,0.4359463334380504,0.0,0.6539195001570756,0.0,0.0,0.0,0.26153846153846155,0.000876408309873367
0.8327128596185382,0,0.46586267574434015,0.0,0.6987940136165102,0.0,0.0,0.0,0.2794871794871795,0.0008073735261159464
0.8539890937533507,0,0.4957789830620319,0.0,0.7436684745930479,0.0,0.0,0.0,0.2974358974358975,0.0007439920218914854
0.8763806542016209,0,0.5256952807037153,0.0,0.7885429210555728,0.0,0.0,0.0,0.3153846153846154,0.000685931636846399
0.8999776322628958,0,0.5556115930176457,0.0,0.8334173895264684,0.0,0.0,0.0,0.33333333333333337,0.0006328680877879806
0.9248800898150853,0,0.5855279433878696,0.0,0.8782919150818044,0.0,0.0,0.0,0.35128205128205137,0.0005844858918056664
0.9511994778926898,0,0.6154443542343433,0.0,0.9231665313515148,0.0,0.0,0.0,0.36923076923076925,0.000540479176405551
0.9790603045549268,0,0.6453608470130402,0.0,0.9680412705195603,0.0,0.0,0.0,0.38717948717948725,0.0005005523795039602
1,0,0.6810862494725013,0.0,1.0,0.00026341297341148735,0.0,0.0,0.40512820512820513,0.0004637349224118162
1,0,0.7333890753813601,0.0,1.0,0.0003439315788425659,0.0,0.0,0.42307692307692313,0.0004289725223558529
1,0,0.7890507983669348,0.0,1.0,0.0004738624784230871,0.0,0.0,0.4410256410256411,0.00039783929415804757
1,0,0.8484057162425471,0.0,1.0,0.000718066706161589,0.0,0.0,0.458974358974359,0.0003700929876711075
1,0,0.9118340108351137,0.0,1.0,0.0013433614782231438,0.0,0.0,0.476923076923077,0.00034549499968144256
1,0,0.979769899967253,0.0,1.0,0.006365897970565951,0.0,0.0,0.4948717948717949,0.0003238109181459216
1,0,1.0,0.050076011883672986,1.0,1.0,1.0,0.00013996686924462796,0.5128205128205129,0.0003139543327443224
1,0,1.0,0.11601804086918,1.0,1.0,1.0,0.000152083595320833,0.5307692307692308,0.0003081857275714038
1,0,1.0,0.17764610534161682,1.0,1.0,1.0,0.00016524009171918204,0.5487179487179488,0.00030252964585458856
1,0,1.0,0.23537012953073186,1.0,1.0,1.0,0.0001795612737790879,0.5666666666666668,0.0002969861861232006
1,0,1.0,0.28954969609419917,1.0,1.0,1.0,0.0001951936472957491,0.5846153846153846,0.0002915554450210816
1,0,1.0,0.34050154379856656,1.0,1.0,1.0,0.00021231018377889998,0.6025641025641026,0.00028623751730036195
1,0,1.0,0.3885057639497885,1.0,1.0,1.0,0.00023111657923120186,0.6205128205128205,0.0002810324958153516
1,0,1.0,0.43381095164270905,1.0,1.0,1.0,0.00025185937724298837,0.6384615384615385,0.00027594047151653677
1,0,1.0,0.47663851188367273,1.0,1.0,1.0,0.00027483663813183365,0.6564102564102564,0.0002709615334446958
0,0,1.0,0.6744102336548871,1.0,1.0,0.5172903917590199,0.0,0.6743589743589744,0.0002880799367576147
0,0,1.0,0.6923603159194658,1.0,1.0,0.5557322712254655,0.0,0.6923076923076924,0.000280334398856818
0,0,1.0,0.7103103981840445,1.0,1.0,0.5922314281706644,0.0,0.7102564102564103,0.00027300370988653694
0,0,1.0,0.7282604804486233,1.0,1.0,0.6269315223099841,0.0,0.7282051282051283,0.00026606586859348664
0,0,1.0,0.746210562713202,1.0,1.0,0.6599623896562687,0.0,0.7461538461538462,0.00025950023135516334
0,0,1.0,0.7641606449777808,1.0,1.0,0.6914416661090615,0.0,0.7641025641025642,0.0002532874691648371
0,0,1.0,0.7821107272423595,1.0,1.0,0.7214761874676019,0.0,0.7820512820512822,0.00024740952388930046
0,0,1.0,0.8000608095069383,1.0,1.0,0.7501632009805299,0.0,0.8,0.00024184956386053577
